Guid,Name,SBQQ__Active__c,SBQQ__AdvancedCondition__c,SBQQ__ConditionsMet__c,SBQQ__ConfiguratorEvaluationEvent__c,SBQQ__EvaluationEvent__c,SBQQ__EvaluationOrder__c,SBQQ__LookupObject__c,SBQQ__TargetObject__c
d9d7be23-e9f6-482f-8eff-d6d6f45c16ab,eXtdClIkVXzSmomHPkqbcbbleLxVkoZDtYne,false,#N/A,All,#N/A,On Calculate,#N/A,Professional_Services_Rate__c,Calculator
69f313b8-d6c2-4f04-9c56-e5bdd531d10c,uJwdzUfnsqOnQQAcAeoeqoFeYDmzDwtCQT,false,#N/A,All,#N/A,On Initialization,53.0,Approval_Threshold__c,Calculator
a0bf9723-52c3-4410-8ef7-775c7a590bfb,xTlAiicXXjWQJfWyeexcxbPGupiTjH,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
887e7aef-a0d5-4616-a6a5-2fee3fbfd6d0,HGDuRnNsXnscJVevDuMPzJdWsrOTOVnbHl,false,#N/A,All,#N/A,On Initialization,50.0,Approval_Threshold__c,Calculator
cb485067-352a-4bbb-95b3-c27ebe69422e,MSDwbKDimgPpAvscWouByoSyHW,false,111 AND (222 OR 333 OR 444),Custom,Save,#N/A,1.0,#N/A,Configurator
ec1b0e8a-a3a7-442a-9735-8e5e7096e486,rpSNzBlFwTFsWLXcQjApYLMXDRNMqxwKMz,false,#N/A,All,#N/A,On Initialization,51.0,Approval_Threshold__c,Calculator
894a1af7-16c7-4587-861c-abdfc1f04acf,ThDmXAymelUNLsANflCLbrYjDlPwmMtx,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
8c42c170-75a1-49e1-9ef4-bdee1b8b0108,vBbwHaLGtgliYibanTxiinYGD,false,#N/A,All,#N/A,Before Calculate,#N/A,#N/A,Calculator
3b272faf-ed20-413e-ac04-7ae07897ebf3,cJpjLoucwTSxsIjkewXlAvrjJIrRZTLdRx,false,#N/A,All,#N/A,On Initialization,51.0,Approval_Threshold__c,Calculator
19adb92a-9fcf-4d45-9881-d7782014d774,IXCHaMdsGMmlEWlUIgZdxVyhSEIAyQXk,false,111 AND (222 OR 333 OR 444),Custom,#N/A,On Initialization,2.0,#N/A,Calculator
